"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.text","Answer.sentiment.label","Approve","Reject"
"38B7Q9C28G2SV3PBFE6JZXP7KMH690","33YD3YS58T3G73P8NVJ1I1C36N2CZB","What sentiment is expressed about the company listed?","Please label the sentiment expressed about each company in the following article titles.","sentiment, emotion, titles, articles","$0.01","Sat Apr 18 20:38:39 PDT 2020","3","BatchId:4000085;OriginalHitTemplateId:928390866;","18000","259200","Sat Apr 25 20:38:39 PDT 2020","","","3C5W7UE9CGNN8MQVVCOFSG4XT4MMXS","A37NFLYNUZQ0QS","Submitted","Sat Apr 18 20:41:09 PDT 2020","Sat Apr 18 20:41:21 PDT 2020","Tue Apr 21 20:41:21 PDT 2020","","","","12","0% (0/0)","0% (0/0)","0% (0/0)","Company: [Biohaven Pharmaceutical Holding Company Ltd.] - Title: Biohaven to Advance Vazegepant into Phase 3 for the Acute Treatment of Migraine Following Successful End of Phase 2 Meeting with FDA","Negative"
"38B7Q9C28G2SV3PBFE6JZXP7KMH690","33YD3YS58T3G73P8NVJ1I1C36N2CZB","What sentiment is expressed about the company listed?","Please label the sentiment expressed about each company in the following article titles.","sentiment, emotion, titles, articles","$0.01","Sat Apr 18 20:38:39 PDT 2020","3","BatchId:4000085;OriginalHitTemplateId:928390866;","18000","259200","Sat Apr 25 20:38:39 PDT 2020","","","3R6BYFZZP89H2CYE9PK2XQKOW3AFXE","A1PIWVNLBFYV4X","Submitted","Sat Apr 18 20:42:35 PDT 2020","Sat Apr 18 20:42:49 PDT 2020","Tue Apr 21 20:42:49 PDT 2020","","","","14","0% (0/0)","0% (0/0)","0% (0/0)","Company: [Biohaven Pharmaceutical Holding Company Ltd.] - Title: Biohaven to Advance Vazegepant into Phase 3 for the Acute Treatment of Migraine Following Successful End of Phase 2 Meeting with FDA","Positive"
"38B7Q9C28G2SV3PBFE6JZXP7KMH690","33YD3YS58T3G73P8NVJ1I1C36N2CZB","What sentiment is expressed about the company listed?","Please label the sentiment expressed about each company in the following article titles.","sentiment, emotion, titles, articles","$0.01","Sat Apr 18 20:38:39 PDT 2020","3","BatchId:4000085;OriginalHitTemplateId:928390866;","18000","259200","Sat Apr 25 20:38:39 PDT 2020","","","3SBEHTYCWO0QC8QEFTCPJ14PE1WYIU","A1580MT585M44G","Submitted","Sat Apr 18 20:46:37 PDT 2020","Sat Apr 18 20:46:51 PDT 2020","Tue Apr 21 20:46:51 PDT 2020","","","","14","0% (0/0)","0% (0/0)","0% (0/0)","Company: [Biohaven Pharmaceutical Holding Company Ltd.] - Title: Biohaven to Advance Vazegepant into Phase 3 for the Acute Treatment of Migraine Following Successful End of Phase 2 Meeting with FDA","Positive"
"3QREJ3J433UUVKB96F3AEPLKLBILKH","33YD3YS58T3G73P8NVJ1I1C36N2CZB","What sentiment is expressed about the company listed?","Please label the sentiment expressed about each company in the following article titles.","sentiment, emotion, titles, articles","$0.01","Sat Apr 18 20:38:39 PDT 2020","3","BatchId:4000085;OriginalHitTemplateId:928390866;","18000","259200","Sat Apr 25 20:38:39 PDT 2020","","","39JEC7537VYIVB99I8TJ1Z20JFBCVY","A3F9N2P4NUUR7S","Submitted","Sat Apr 18 20:51:09 PDT 2020","Sat Apr 18 20:51:27 PDT 2020","Tue Apr 21 20:51:27 PDT 2020","","","","18","100% (6/6)","100% (6/6)","0% (0/0)","Company: [Translate Bio, Inc.] - Title: Biotech Stocks & ETFs to Gain on Progress in COVID-19 Vaccine Development","Positive"
"3QREJ3J433UUVKB96F3AEPLKLBILKH","33YD3YS58T3G73P8NVJ1I1C36N2CZB","What sentiment is expressed about the company listed?","Please label the sentiment expressed about each company in the following article titles.","sentiment, emotion, titles, articles","$0.01","Sat Apr 18 20:38:39 PDT 2020","3","BatchId:4000085;OriginalHitTemplateId:928390866;","18000","259200","Sat Apr 25 20:38:39 PDT 2020","","","3SITXWYCNW6RPVMY4NY6E0T3H5IXBE","A23F9O4O9L690Q","Submitted","Sat Apr 18 20:43:36 PDT 2020","Sat Apr 18 20:46:38 PDT 2020","Tue Apr 21 20:46:38 PDT 2020","","","","182","0% (0/0)","0% (0/0)","0% (0/0)","Company: [Translate Bio, Inc.] - Title: Biotech Stocks & ETFs to Gain on Progress in COVID-19 Vaccine Development","Positive"
"3QREJ3J433UUVKB96F3AEPLKLBILKH","33YD3YS58T3G73P8NVJ1I1C36N2CZB","What sentiment is expressed about the company listed?","Please label the sentiment expressed about each company in the following article titles.","sentiment, emotion, titles, articles","$0.01","Sat Apr 18 20:38:39 PDT 2020","3","BatchId:4000085;OriginalHitTemplateId:928390866;","18000","259200","Sat Apr 25 20:38:39 PDT 2020","","","3WT783CTPCE3MXB3DR2J0N8TGNWBCS","AII34MKKSXVXQ","Submitted","Sat Apr 18 20:54:50 PDT 2020","Sat Apr 18 20:54:59 PDT 2020","Tue Apr 21 20:54:59 PDT 2020","","","","9","100% (11/11)","100% (11/11)","0% (0/0)","Company: [Translate Bio, Inc.] - Title: Biotech Stocks & ETFs to Gain on Progress in COVID-19 Vaccine Development","Positive"
"3BA7SXOG1JNL3H4L2A33AWLSW3D8RB","33YD3YS58T3G73P8NVJ1I1C36N2CZB","What sentiment is expressed about the company listed?","Please label the sentiment expressed about each company in the following article titles.","sentiment, emotion, titles, articles","$0.01","Sat Apr 18 20:38:39 PDT 2020","3","BatchId:4000085;OriginalHitTemplateId:928390866;","18000","259200","Sat Apr 25 20:38:39 PDT 2020","","","3634BBTX0PRKCH9JA3K1UGX98Q8IFJ","A3D0QOV2FWXY6J","Submitted","Sat Apr 18 20:57:38 PDT 2020","Sat Apr 18 20:57:55 PDT 2020","Tue Apr 21 20:57:55 PDT 2020","","","","17","4% (1/23)","4% (1/23)","0% (0/22)","Company: [Emergent BioSolutions Inc.] - Title: Federal vaccine development sites ill-suited to counter covid-19 epidemic - The Washington Post","Neutral"
"3BA7SXOG1JNL3H4L2A33AWLSW3D8RB","33YD3YS58T3G73P8NVJ1I1C36N2CZB","What sentiment is expressed about the company listed?","Please label the sentiment expressed about each company in the following article titles.","sentiment, emotion, titles, articles","$0.01","Sat Apr 18 20:38:39 PDT 2020","3","BatchId:4000085;OriginalHitTemplateId:928390866;","18000","259200","Sat Apr 25 20:38:39 PDT 2020","","","3KRVW3HTZOIFC54W12IST8N5EPLSMR","A2EM9M1U102Y52","Submitted","Sat Apr 18 20:53:17 PDT 2020","Sat Apr 18 20:53:39 PDT 2020","Tue Apr 21 20:53:39 PDT 2020","","","","22","0% (0/0)","0% (0/0)","0% (0/0)","Company: [Emergent BioSolutions Inc.] - Title: Federal vaccine development sites ill-suited to counter covid-19 epidemic - The Washington Post","Positive"
"3BA7SXOG1JNL3H4L2A33AWLSW3D8RB","33YD3YS58T3G73P8NVJ1I1C36N2CZB","What sentiment is expressed about the company listed?","Please label the sentiment expressed about each company in the following article titles.","sentiment, emotion, titles, articles","$0.01","Sat Apr 18 20:38:39 PDT 2020","3","BatchId:4000085;OriginalHitTemplateId:928390866;","18000","259200","Sat Apr 25 20:38:39 PDT 2020","","","3TXWC2NHN0N05LL2CTENOMHLEQES9S","A1PIWVNLBFYV4X","Submitted","Sat Apr 18 20:52:44 PDT 2020","Sat Apr 18 20:53:27 PDT 2020","Tue Apr 21 20:53:27 PDT 2020","","","","43","0% (0/0)","0% (0/0)","0% (0/0)","Company: [Emergent BioSolutions Inc.] - Title: Federal vaccine development sites ill-suited to counter covid-19 epidemic - The Washington Post","Positive"
"3VDI8GSXAFQUERV7MZ9RBS7LUU2G8N","33YD3YS58T3G73P8NVJ1I1C36N2CZB","What sentiment is expressed about the company listed?","Please label the sentiment expressed about each company in the following article titles.","sentiment, emotion, titles, articles","$0.01","Sat Apr 18 20:38:39 PDT 2020","3","BatchId:4000085;OriginalHitTemplateId:928390866;","18000","259200","Sat Apr 25 20:38:39 PDT 2020","","","34S6N1K2ZWG6GE8VQW5EPH1E59DHLS","A23F9O4O9L690Q","Submitted","Sat Apr 18 20:40:22 PDT 2020","Sat Apr 18 20:43:25 PDT 2020","Tue Apr 21 20:43:25 PDT 2020","","","","183","0% (0/0)","0% (0/0)","0% (0/0)","Company: [Emergent BioSolutions Inc.] - Title: Dow Jones Up 3% In Whipsaw Trading; Coronavirus Package In Works? - Investor's Business Daily","Neutral"
